timestamp,response_text,sentiment_label,sentiment_score
2025-10-27T20:12:50.064637,"Hello, how are you?",POSITIVE,0.994739830493927
2025-11-05T16:31:49.205971,आया मुन्नाती,NEGATIVE,0.5181175470352173
2025-11-05T16:32:05.373454,"Hello, I am Unnati.",POSITIVE,0.914715588092804
2025-11-05T16:32:27.143905,I am a BTEC student.,POSITIVE,0.9933310151100159
2025-11-05T16:36:35.486693,"Hello, I am ready.",POSITIVE,0.9992855191230774
2025-11-05T16:36:55.711775,Ask me some questions.,NEGATIVE,0.8534263968467712
2025-11-05T16:43:56.053347,"Hey, can you ask me some questions?",POSITIVE,0.5897748470306396
2025-11-09T13:17:43.675750,"Hello, I am on a day.",POSITIVE,0.9982560276985168
2025-11-09T13:18:00.963995,"Hello, I am Onnati.",POSITIVE,0.9979516863822937
2025-11-09T13:18:03.884651,I'm doing fine. What about you?,POSITIVE,0.9997199177742004
2025-11-09T13:18:24.343034,"Hey, can you ask me some questions?",POSITIVE,0.5897748470306396
2025-11-09T13:18:47.259266,I'm feeling so sad,NEGATIVE,0.9993422627449036
2025-11-09T13:19:06.344958,I think I should study.,POSITIVE,0.963503360748291
2025-11-09T13:19:22.735859,"Yeah, let's go to study now",POSITIVE,0.9883809089660645
2025-11-09T13:19:40.870768,"Okay, thank you for your time.",POSITIVE,0.9998435974121094
2025-11-09T15:48:05.743168,"Hello, I am Mulati.",POSITIVE,0.9718455076217651
2025-11-09T15:48:35.208153,You,POSITIVE,0.9991247057914734
2025-11-09T15:48:53.011817,I am fine.  I am fine. What about you?,POSITIVE,0.9995810389518738
2025-11-09T15:50:41.253719,So I am an AI interviewer,NEGATIVE,0.9918727278709412
